"","Firms","Date","CA_0","CA_1","CA_2","VCD_0","VCD_1","VCD_2","KZ","Oscore","size","BM","CER64","BHAR_1","BHAR_2","BHAR_3","CER31"
"1","Chrysalis Ltd.","03.02.00",-20492,31077,-4584,-8107,28540,15401,"-0.156644679","1.127665466","244.98","0.027762354","-0.029467699","-0.154615106","-0.16318359","-0.11435771","0.908020404"
"2","JD Wetherspoon Plc","03.02.00",1006,-14865,-11685,83586,102771,116916,"1.200207449","-3.233856181","632.3","0.420168067","0.043461995","-0.172530493","0.095288174","-0.276135284","0.275382634"
"3","Scottish Radio Holdings Plc","17.02.00",-1500,-13752,1900,5969,13415,6300,"0.382500427","-1.373559688","274.52","0.168350168","-0.260149647","0.50122003","0.22933703","0.190424725","-0.180092633"
"4","AFA Systems Plc","02.03.00",370,700,358,545,797,3222,"0.045361594","-1.00750695","22.15","0.21978022","0.270160834","-0.217102676","-0.166387111","-0.191464395","0.690472293"
"5","Guardian iT Plc","13.03.00",1076,-22816,25936,10377,28748,27466,"2.180511263","-0.814286014","342.47","-0.003263282","0.26562146","-0.308357696","-0.761048621","-0.574313523","0.385291701"
"6","On-Line Plc","04.04.00",10,-599,62,301,-228,437,"0.126449297","-4.036661564","5.46","0.740740741","0.430336642","-0.402761031","-0.338251809","-0.259120523","1.145796701"
"7","ASM International NV","07.04.00",22144,65438,27251,61463,431212,-276246,"-0.57559726","-2.167462156","242.81","0.22675737","1.014343073","-0.313359118","0.059528697","-0.081214692","0.410356006"
"8","Gyrus Group Ltd.","17.04.00",1142,11045,1983,3399,4776,25335,"0.58412492","-2.456024382","53.46","0.649350649","0.378145849","-0.024625126","-0.031584698","-0.059455568","0.318609303"
"9","Sportsworld Media Group Plc","20.04.00",1181,-35803,1984,1007,2406,9322,"0.089800872","-5.02471906","36.41","2.272727273","0.942589813","-0.188574901","-0.844239115","-0.858968001","0.080493774"
"10","SciSys Plc","28.04.00",-1968,11411,-3267,5049,5117,17585,"0.038588895","-0.633565553","37.14","0.106496273","-0.199177309","0.246344594","0.349314424","0.161299447","0.609996468"
"11","Fibernet Group Plc","04.07.00",-7348,2222,-11669,1838,20768,4410,"2.317279752","0.927015514","192.55","0.049726504","0.203784847","-0.680166147","-0.737060199","-0.604409606","0.095540607"
"12","Flomerics Group Plc","06.07.00",-174,368,-358,1031,1888,1985,"-1.176896794","-1.93285345","6.47","0.343642612","0.919382821","0.075372454","-0.02635598","-0.025059428","0.171784285"
"13","Energis Plc","28.09.00",-54887,-45046,13611,123215,128034,243831,"2.682591561","-2.131518576","4609.92","0.161550889","0.013468339","-0.659615545","-0.645632531","-0.645632531","0.095091612"
"14","Powderject Pharmaceuticals Plc","04.10.00",57711,-19880,14895,5582,-4028,22929,"0.90328307","-3.347677087","644.37","0.102880658","-0.333326431","-0.115122902","-0.086426944","0.330192449","0.391710378"
"15","London Bridge Software Holdings Plc","11.10.00",7546,15354,4674,20149,10594,10515,"1.155925277","-4.890624842","641.41","0.096525097","-0.318866567","-0.608397737","-0.597582116","-0.59936152","0.259597211"
"16","Baltimore Technologies Plc","25.10.00",-2097,5705,-9718,4027,1353,30551,"-0.183796807","-4.513872232","275.69","0.427350427","0.044668848","-0.76941625","-0.57831467","-0.684157464","-0.063546392"
"17","Informa Switzerland Ltd.","13.03.01",-2464,-4300,-3614,49986,36301,-30755,"0.774233079","-0.319777866","874.41","-0.019171779","-0.209815077","-0.486535626","-0.389051511","-0.216085848","0.019744864"
"18","The Television Corp. Plc","04.05.01",-6853,1168,-6661,5773,35817,-4958,"-0.584705577","-2.025399724","87.28","0.37593985","0.008327472","-0.383856761","-0.442867008","-0.592167523","0.201504402"
"19","Morgan Sindall Group Plc","11.06.01",7290,-29713,15613,108189,216973,109530,"-1.510675167","-1.335708858","101.83","0.395256917","0.441188524","0.037547226","-0.148282607","0.202208963","0.154206118"
"20","Cranswick Plc","03.08.01",905,1046,-17958,16586,34420,27097,"-1.205758265","-2.961583491","63.95","0.617283951","0.045723391","1.194722398","1.029745295","0.673233962","0.272203026"
"21","Dana Petroleum Ltd.","27.09.01",669,-605,-3625,10805,-5654,3341,"0.285408067","-5.214493904","116.54","0.862068966","0.135142378","0.328298134","0.556387034","0.972360418","0.006248058"
"22","Rexam Ltd.","12.12.01",65000,-187000,-40000,309000,652000,-88000,"0.867499002","-2.098295764","1005.59","0.555555556","0.281093244","0.272600015","0.352474885","0.336140656","0.025733355"
"23","Jurys Doyle Hotel Group Ltd.","20.02.02",14457,-11972,-1609,33402,22890,-19681,"0.935409184","-2.778086854","576.69","1.515151515","-0.177155913","0.105604175","0.224862673","0.449041414","0.21077323"
"24","BPB Plc","18.03.02",10100,-7400,-27700,112300,78000,189400,"-0.643269988","-3.457825458","1151.23","0.675675676","0.1449225","0.02635067","0.126296671","0.453383947","0.176795118"
"25","The Maiden Group Plc","22.04.02",2010,-589,-34206,2123,1524,3676,"0.329982808","0.686295037","180.69","0.022920009","0.108207204","-0.200169422","-0.148842234","-0.348565953","0.153371781"
"26","Cobham Plc","09.07.03",52800,-4000,-23900,11200,85700,109300,"-0.639260014","-3.529693946","958.31","0.371747212","0.035979635","0.04575177","-0.04427223","-0.023336536","-0.029567781"
"27","Belhaven Brewery Co. Ltd.","16.07.03",4724,778,-2390,12765,10144,15729,"0.477322357","-2.111618468","72.94","0.653594771","-0.088020688","0.200451812","0.080291361","0.433190381","0.025431612"
"28","Cosalt Plc","04.08.03",-1776,8848,-1886,23874,6745,-2543,"-1.549904856","-2.020180023","35.28","0.78125","-0.024984482","-0.085420778","-0.49900913","-0.631482857","0.124165968"
"29","Ei Group Plc","05.03.04",-24000,-63600,-24000,121200,190400,222300,"1.332170629","1.038508357","1503.96","0.71942446","0.092435395","0.075972964","0.188165292","0.646864229","0.20152532"
"30","Chemring Group Plc","11.03.04",-1002,71,15563,20292,14879,3107,"-0.389938031","-2.187887705","107.41","0.497512438","-0.111736721","-0.048319161","1.051726356","2.420504647","0.100434426"
"31","AVEVA Group Plc","21.04.04",3389,-588,-4001,1783,1530,8606,"-1.443851961","-4.396707775","80.38","0.261780105","-0.031460416","0.264108006","0.798960025","3.433833723","-0.069835252"
"32","Inter Link Foods Plc","03.11.04",-106,3845,-2876,1891,16063,19964,"0.108116739","-1.50181204","37.64","0.546448087","0.051231561","0.198705906","-0.124816382","-1.086853834","0.029023207"
"33","Cranswick Plc","17.12.04",11425,-7120,16831,12856,27112,35237,"-1.657044001","-4.026380613","180.57","0.377358491","-0.060098351","0.056340237","0.40174686","0.36162611","0.218966879"
"34","Celtic Resources Holdings Plc","07.01.05",-2226,45060,-23113,1702,-582,1672,"0.64949148","-4.066535106","125.64","0.625","-0.03344161","-0.563420173","-0.617636819","-0.347876666","-0.041087764"
"35","BKN International AG","13.06.05",5818,-238,-1998,1326,3507,2055,"0.08849164","-5.35068534","45.41","0.348432056","-0.177718239","-0.587875168","-0.751566827","-0.497931965","0.17713442"
"36","Monstermob Group Plc","27.06.05",-294,-2860,1051,5710,28387,44529,"-0.319359949","-5.494360279","15.98","1.162790698","0.142048","-0.544923015","-1.0851071","-1.094149261","0.276026137"
"37","Dyson Group Plc","14.07.05",-2537,7336,-3074,-106,-1971,473,"-0.123776368","-2.872960853","93.31","0.392156863","0.008594208","-0.600126934","-0.470353599","-0.975381352","-0.058056018"
"38","Vanco Plc","28.09.05",5743,154,-21509,10627,29256,33304,"0.622461004","-1.46308855","122.79","0.156494523","0.312568447","-0.215193679","-0.590572889","-1.027040029","0.172832296"
"39","Punch Taverns Plc","01.12.05",-42100,-52100,-178300,189100,135000,755300,"2.134521438","-2.028687286","1167.35","0.684931507","0.078581228","0.211580125","-0.108694126","-0.580877268","0.031949608"
"40","NWF Group Plc","21.12.05",845,2914,5468,28586,31133,46839,"-1.100655458","-1.908566549","43.79","0.495049505","0.006214826","0.61206876","0.538047881","0.36954162","0.093814526"
"41","Sibir Energy Ltd.","23.03.06",19462,36483,71603,146897,242540,180458,"0.250161058","-0.965392488","495.62","0.165562914","0.191056724","-0.033733241","0.309150799","0.022433227","0.12175083"
"42","Xstrata Plc","17.05.06",-277457,963044,749826,932058,4320219,4616081,"0.109924464","-5.294254773","7912.6","0.546448087","0.037864696","0.40990428","1.249389872","0.133704714","0.238194308"
"43","Croda International Plc","05.09.06",33700,20500,15100,10100,94200,364400,"-2.633672654","-2.792975596","519.31","0.153609831","-0.085560335","0.277243869","0.418005313","0.34415746","0.119522756"
"44","Accident Exchange Group Plc","28.09.06",14474,27350,-1944,12016,31,26578,"2.11088944","-2.860297863","287","0.120627262","-0.046772923","-0.717963329","-0.658700567","-0.536632561","0.066078232"
"45","Clipper Windpower Holdings Ltd.","28.09.06",-1581,-17562,-3573,742,-2912,12247,"-0.35166602","-2.858230097","174.43","0.263852243","-0.026855632","-0.152743972","0.222142993","-0.33716852","0.656379188"
"46","Shire Plc","20.02.07",-172523,-25682,417350,120484,176296,379436,"-0.190970219","-5.484399168","4195.19","0.502512563","0.115666885","-0.004549858","0.322424988","0.306590669","-0.02110487"
"47","Mears Group Plc","05.03.07",6113,-2138,2444,29591,54799,79983,"-1.208066951","-3.161895864","160.67","0.227272727","0.218460544","-0.112218723","0.411028179","0.165770863","-0.069882545"
"48","Brammer Ltd.","18.04.07",6178,18934,9919,21767,44546,83004,"-0.298522388","-0.561619547","107.46","0.114025086","0.107336825","-0.046801241","-0.360913369","-0.368747218","0.140536735"
"49","Cape Plc","23.04.07",-10600,39300,-5900,6900,95600,151800,"-0.103805915","-2.351651611","140.32","0.543478261","0.203237803","0.068858132","-0.105162747","0.301357641","-0.039279463"
"50","Delcam Ltd.","23.04.07",1274,-3355,-120,2858,1994,2307,"-0.587023734","-3.148278149","19.42","0.523560209","0.103334212","-0.167892309","0.094771115","-0.051177577","0.032554127"
"51","Maxima Holdings Plc","01.05.07",-4590,4281,-494,9024,8234,13269,"-0.364886519","-1.700596429","24.81","0.826446281","0.169556565","-0.299128893","-0.197370184","-0.27803181","0.081025932"
"52","BAE Systems Plc","08.05.07",149000,-649000,61000,1007000,1299000,1527000,"-0.441512778","-2.622988016","10976.61","0.36900369","0.016036928","0.15726762","0.163178783","-0.004419635","-0.013195942"
"53","Babcock International Group Plc","10.05.07",-157400,-28900,-26500,83800,149800,397700,"-0.809832854","-1.729330848","687.63","0.298507463","-0.020676946","0.328888434","0.258220531","0.417901139","0.097812092"
"54","SDL Plc","16.05.07",1821,-3363,-3575,15082,12571,32167,"0.323669859","-3.577366493","134.67","0.406504065","0.19317248","-0.019851147","0.289746803","0.479129788","0.268084034"
"55","SIG Plc","24.05.07",11478,46728,144100,185341,493467,461200,"-0.572739669","-3.32744259","1102.82","0.318471338","0.184473313","-0.384858256","-0.489201212","-0.75697626","0.109298939"
"56","Rexam Ltd.","11.06.07",-42000,-53000,73000,447000,-188000,773000,"-0.163313786","-3.074979516","2797.83","0.425531915","-0.042867665","-0.04824623","-0.087149885","-0.141378925","-0.065068466"
"57","GSH Group Plc","15.06.07",71,3086,-2844,14952,10922,33747,"-2.178721337","-0.424225201","55.14","0.302114804","0.160153856","-0.044451165","-0.041025891","-0.295165621","0.055832972"
"58","Bateman Litwin NV","18.07.07",62119,-6313,-126802,100107,86217,139166,"-1.77701132","-3.884178256","141.11","0.383141762","0.07236982","-0.311594032","-0.371426324","-0.517733021","0.275924918"
"59","AorTech International Plc","21.08.07",936,-993,3638,225,-283,1218,"-0.105155772","-3.004989862","14.96","0.198019802","-0.212342617","-0.11726386","-0.18361737","-0.219228718","-0.004788088"
"60","Genus Plc","01.11.07",4041,49502,-10300,31819,11848,4600,"0.861882436","-2.191681918","243.05","0.613496933","0.022365083","0.545491836","0.411396335","0.431389697","0.15974591"
"61","Wynnstay Group Plc","14.11.07",2517,2781,3534,6977,39094,72244,"-1.042020216","-2.664238757","23.21","1.020408163","0.236365703","0.393333094","0.244461169","0.396691069","-0.086862911"
"62","Dechra Pharmaceuticals Plc","09.01.08",1531,3660,-1668,20484,40328,45011,"-1.552413304","-2.178872038","174.25","0.338983051","0.009867803","0.325605429","0.367765698","0.449339275","0.160070261"
"63","Hikma Pharmaceuticals Plc","17.01.08",-75035,119444,40216,22347,57300,83915,"-0.411869207","-3.212552471","701.92","0.297619048","0.17824184","-0.107794692","0.139016317","0.598891296","0.163968673"
"64","Chemring Group Plc","24.06.08",-3432,36100,-22700,45138,75300,142300,"0.341494791","-2.806933779","632.48","0.197238659","0.283228472","0.055679539","0.437763792","0.33955061","-0.027299255"
"65","Salamander Energy Plc","11.08.08",10343,12546,-16601,5068,6110,47547,"-0.096477165","-5.989376568","198.25","0.71942446","0.08655041","-0.028265246","-0.018390484","0.043065737","-0.100342614"
"66","Carr's Group Plc","05.09.08",1483,2062,14511,8291,104226,-14655,"-0.973903109","-1.83325073","43.35","0.617283951","0.272106746","-0.245589607","-0.130730749","0.15274467","0.065173217"
"67","SSL International Plc","28.01.09",-4500,109600,-89300,27600,82900,131600,"-1.263764583","-1.661774258","860.44","0.292397661","0.166106339","0.283008466","1.098009074","1.098009074","0.155513332"
"68","Cairn Energy Plc","11.03.09",893109,-220341,-731003,-145481,93967,33411,"0.225046923","-5.789375441","3442.98","0.318471338","0.061565601","0.321348928","0.544677516","-0.033695685","0.18687225"
"69","ArcelorMittal SA","29.04.09",331107,-3862680,3822855,10441060,-36755714,13003562,"-0.347926004","-5.882773338","76613.88","0.549450549","0.038960489","0.305875917","-0.120993851","-0.538071911","0.151082409"
"70","Heritage Oil Ltd.","18.06.09",-23362,112746,-24108,-403,2319,-10080,"1.726863885","-1.740032376","585.31","0.214132762","0.536186199","-0.415503263","-0.841111136","-0.994625189","0.537630485"
"71","Bellway Plc","06.08.09",147352,-256731,-50780,-215103,-461099,90735,"-1.741323957","-5.738099334","693.73","1.388888889","-0.00027818","-0.399199328","-0.404023675","-0.186312458","0.112906415"
"72","QIAGEN NV","24.09.09",3241,6256,45745,115309,86885,99889,"1.356375172","-4.542925555","4049.59","0.418410042","-0.046392053","-0.168984176","-0.48470162","-0.617241642","0.014415459"
"73","Telvent GIT SA","27.10.09",-36987,-54755,158657,80916,59956,-165327,"-0.049662192","-1.98568169","703.98","0.456621005","0.220061369","-0.290882862","0.205270858","-0.03122234","0.145299795"
"74","SOCO International Plc","20.01.10",-51949,39657,22080,58076,-55823,78853,"-0.013358485","-5.338114217","1002.91","0.471698113","-0.006083273","-0.109689901","-0.19286772","-0.113858444","-0.022372225"
"75","Lonmin Plc","10.05.10",-17675,131517,-154116,-433737,819264,-191945,"0.404498493","-4.979813342","2796.21","0.485436893","0.164596173","-0.216421663","-0.528146718","-0.955859388","-0.067823133"
"76","Gooch & Housego Plc","16.12.10",239,-694,582,4654,7105,13349,"0.283875976","-3.36129508","20.04","1.538461538","0.442496212","0.006447492","0.170058586","0.358879359","0.141759253"
"77","Meggitt Plc","18.01.11",3400,10300,13500,-15000,214400,165700,"0.379416296","-4.026557911","1929.95","0.740740741","-0.115103509","0.028244959","0.046846725","0.211981615","0.154378309"
"78","Delcam Ltd.","15.04.11",-3703,966,3217,4153,5410,4087,"-1.05590659","-3.051391405","20.44","0.877192982","0.264910562","0.726316588","2.384666264","3.926473877","0.062146946"
"79","Exillon Energy Plc","18.04.11",4765,-2062,-1967,35481,68624,61779,"0.320633877","-5.180752598","235.41","1.724137931","0.445981425","-0.609311134","-0.718187454","-0.792852277","0.115446393"
"80","Chemring Group Plc","20.04.11",-16100,17800,-7300,30800,124600,-12100,"-0.153868713","-2.799967931","201.91","0.320512821","-0.00640475","-0.393379572","-0.710656258","-0.747708823","0.058431774"
"81","Oxford Instruments Plc","14.06.11",4600,-5500,-1500,2000,59800,67300,"-0.9530925","-1.975591185","167.69","0.555555556","-0.059050668","0.583750317","0.894081271","0.459028949","0.232355542"
"82","Velti Plc","14.06.11",13684,32289,23334,-1744,7709,-51782,"0.25494546","-0.697489006","285.72","0.117647059","0.548343426","-0.602716144","-1.206335123","-1.544692781","0.277511992"
"83","Hunting Plc","05.08.11",-234000,98400,20200,60800,77900,215000,"-1.170280108","-5.665787304","719.26","0.81300813","-0.006788505","-0.005840033","-0.076459584","-0.124323664","0.050638452"
"84","Capita Plc","24.04.12",160100,-79900,-513400,2800,266600,461500,"0.106606862","-1.804937828","4130.42","0.127877238","-0.14455645","0.05599791","0.302635535","0.36379336","0.130879216"
"85","Synergy Health Ltd.","07.06.12",-4756,-23120,27255,-602,20014,38352,"-0.503851035","-2.663284533","476.98","0.606060606","-0.102838075","0.043020662","0.209497802","1.343119477","0.085368945"
"86","ArcelorMittal SA","09.01.13",-1699140,-904008,-978483,-455996,-4675262,1067510,"0.015745864","-5.482604704","20385.54","1.923076923","-0.080928421","-0.21020434","-0.496792717","-1.024519857","0.104016033"
"87","Dignity Plc","25.01.13",22900,17200,36800,17900,26100,7900,"1.592609785","-0.948457781","498.29","0.089525515","0.044725634","0.14340025","0.520503076","1.046756238","0.146748993"
"88","Adecoagro SA","30.01.13",15566,-11882,-39578,76167,31358,82934,"0.516578204","-4.678765577","1292.09","0.78125","-0.138036345","-0.236072248","-0.263143732","0.246458326","-0.160631191"
"89","Hargreaves Services Plc","17.04.13",24016,48142,1903,88525,129196,45797,"-0.878744897","-3.116960054","198.72","0.5","-0.059050925","-0.182763619","-0.492141373","-0.737384355","0.202568404"
"90","Wynnstay Group Plc","12.09.13",6227,8562,-736,28443,36668,2874,"-1.022078008","-3.087663256","66.55","0.854700855","0.10346092","0.065054391","0.009895251","-0.150579003","0.032837924"
"91","EMIS Group Plc","13.09.13",196,-10849,139,12356,17593,30739,"-2.243466425","-4.454661674","399.6","0.151515152","0.21510359","0.086480664","0.426253907","0.551496179","-0.180029067"
"92","InternetQ Plc","22.10.13",7969,-412,-289,1680,25755,10193,"-0.579707104","-6.125489236","76.96","0.492610837","-0.029571932","-0.077345496","-0.201909881","-0.333198527","-0.100438268"
"93","Telecom Plus Plc","20.11.13",-3740,5419,-30026,52822,14721,33058,"-4.47831087","-3.474808455","589.63","0.119617225","0.024902084","-0.019084829","-0.200657665","-0.280018847","0.036818985"
"94","Mulberry Group Plc","11.12.13",6604,10492,113,44960,-2526,-531,"0.289511717","-5.725769029","849.49","0.092421442","-0.014976418","-0.11411594","0.018803841","0.110598927","0.023553487"
"95","Akers Biosciences, Inc.","23.12.13",-962,1579,9448,-414,770,600,"-0.061722931","0.986202358","1.05","2","0.758764","-0.295750742","-0.527627443","-0.360819168","0.102397158"
"96","Interserve Plc","28.02.14",27300,12000,59800,203200,566500,65400,"-1.044853741","-2.559833157","669.48","0.537634409","0.141852785","-0.020543665","-0.108441052","-0.475520172","-0.169132149"
"97","Playtech Plc","04.03.14",23511,22867,331764,83402,121678,65755,"-2.904729569","-10.09282089","2030.49","0.37593985","-0.004241616","-0.091786357","0.047355934","-0.073208666","0.113621004"
"98","Pressure Technologies Plc","05.03.14",45,5489,-3751,3053,7508,8476,"-1.876709812","-4.068366348","27.55","0.632911392","0.034419048","-0.401861515","-0.457821453","-0.626557386","0.330515585"
"99","Brammer Plc","09.04.14",2200,29500,4700,9200,54100,8500,"-1.028738559","-2.887703376","506.44","0.253807107","-0.00318064","-0.196598259","-0.615273889","-0.755971241","0.038429904"
"100","RPC Group Plc","01.05.14",13900,900,15800,-69800,-13400,77900,"-0.526991414","-2.488803004","773.51","0.350877193","0.190045593","0.105873594","0.637840356","0.800024136","-0.022074169"
"101","Serco Group Plc","01.05.14",42200,-176700,-243900,-178000,-424300,-802500,"0.151199877","-3.615073889","3080.08","0.355871886","-0.149908511","-0.526042935","-0.576905573","-0.694312018","-0.260299992"
"102","NXP Semiconductors NV","13.05.14",93464,-56791,983631,235955,560465,704515,"1.767465052","-3.181911343","8861.33","0.145772595","0.183750459","0.311485019","0.155797148","0.254121209","0.200180497"
"103","Cobham Plc","20.05.14",36600,59500,-10900,14400,-43600,281400,"-1.211507317","-3.564030413","3188.27","0.326797386","0.087196004","-0.100329484","-0.26944362","-0.586460567","0.064902808"
"104","Sensata Technologies Holding N.V.","20.05.14",2039,145371,30744,-10252,180209,809502,"2.015050644","-3.664639994","6741.02","0.173611111","0.056536912","0.213902097","-0.111040391","-0.140760637","0.044393142"
